State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
,"MW","kgmole/h","kgmole/h","C","kgmole/h","kgmole/h","kgmole/h","kgmole/h","kgmole/h","MW","","","","","","kgmole/h","kg/h","kgmole/h","","","","","","","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 1",0,0,327.9,1300,0.0000,880.8296,134.5101,577.1506,0.2393,100.8,100.8,0,59.49,99.51,40.02,2813,2.964e+004,74.6466,3.285,0.6552,2.277,2.05,0,40.32,0,17.76,1.419,18.6230,922.2400,1890.5881
"Case 2",0,10,328.7,1300,0.0000,877.5232,137.8251,578.9318,0.2306,100.5,100.5,0.009847,59.35,99.36,40.01,2809,2.96e+004,76.6445,3.373,0.6597,2.282,2.051,0,40.19,0,17.7,1.457,18.0468,920.8152,1888.3263
"Case 3",0,20,329.5,1300,0.0000,874.2432,141.1132,580.6999,0.2226,100.1,100.1,0.01969,59.17,99.21,40.03,2805,2.955e+004,78.6607,3.462,0.6642,2.287,2.051,0,40.04,0,17.64,1.496,17.4732,919.3693,1885.2208
"Case 4",0,30,330.2,1300,0.0000,870.9873,144.3769,582.4187,0.2148,99.7,99.7,0.02954,58.98,99.05,40.07,2800,2.951e+004,80.6864,3.551,0.6687,2.291,2.05,0,39.88,0,17.57,1.534,16.9014,917.9120,1881.7162
"Case 5",0,40,331,1300,0.0000,867.7570,147.6145,584.1314,0.2077,99.39,99.39,0.03939,58.84,98.89,40.05,2796,2.946e+004,82.6835,3.639,0.6732,2.296,2.051,0,39.76,0,17.51,1.572,16.3826,916.4303,1879.3157
"Case 6",0,50,331.8,1300,0.0000,864.5499,150.8287,585.7889,0.2007,99.02,99.02,0.04923,58.66,98.73,40.07,2791,2.941e+004,84.6980,3.728,0.6776,2.301,2.051,0,39.61,0,17.45,1.61,15.8499,914.9449,1876.1040
"Case 7",0,60,332.6,1300,0.0000,861.3675,154.0175,587.4477,0.1942,98.62,98.62,0.05908,58.48,98.56,40.09,2786,2.936e+004,86.7213,3.817,0.682,2.305,2.05,0,39.45,0,17.38,1.649,15.3358,913.4319,1872.5324
"Case 8",0,70,333.4,1300,0.0000,858.2077,157.1838,589.0468,0.1879,98.32,98.32,0.06893,58.34,98.4,40.07,2782,2.931e+004,88.7140,3.904,0.6864,2.31,2.051,0,39.33,0,17.32,1.687,14.8527,911.9185,1870.0231
"Case 9",0,80,334.2,1300,0.0000,855.0718,160.3255,590.6546,0.1821,97.95,97.95,0.07877,58.16,98.24,40.07,2777,2.926e+004,90.7269,3.993,0.6908,2.314,2.05,0,39.18,0,17.26,1.725,14.3780,910.3765,1866.7215
